station_id,station_name,variable,value,dt,lat,lon,gestore,source
ARPAE::STA_43.9261_12.7114,ARPAE Station STA_43.9261_12.7114,PREC,0.0,2026-06-21 13:30:00+00:00,43.9261,12.71139,ARPAE,ARPAE
ARPAE::STA_43.927_12.5806,ARPAE Station STA_43.927_12.5806,PREC,0.0,2026-06-21 10:45:00+00:00,43.92705,12.58065,ARPAE,ARPAE
ARPAE::STA_43.9375_12.4465,ARPAE Station STA_43.9375_12.4465,PREC,0.0,2026-06-21 13:15:00+00:00,43.93753,12.44649,ARPAE,ARPAE
ARPAE::STA_43.9465_12.0769,ARPAE Station STA_43.9465_12.0769,PREC,0.0,2026-06-21 13:30:00+00:00,43.94648,12.07693,ARPAE,ARPAE
ARPAE::STA_43.9525_12.5362,ARPAE Station STA_43.9525_12.5362,PREC,0.0,2026-06-21 13:30:00+00:00,43.95249,12.53622,ARPAE,ARPAE
ARPAE::STA_43.9582_12.7003,ARPAE Station STA_43.9582_12.7003,PREC,0.0,2026-06-21 13:00:00+00:00,43.95818,12.70026,ARPAE,ARPAE
ARPAE::STA_43.9585_12.7394,ARPAE Station STA_43.9585_12.7394,PREC,0.0,2026-06-21 13:30:00+00:00,43.95847,12.7394,ARPAE,ARPAE
ARPAE::STA_43.9776_12.3028,ARPAE Station STA_43.9776_12.3028,PREC,0.0,2026-06-21 13:15:00+00:00,43.97765,12.30275,ARPAE,ARPAE
ARPAE::STA_43.9829_12.4051,ARPAE Station STA_43.9829_12.4051,PREC,0.0,2026-06-21 13:30:00+00:00,43.9829,12.40511,ARPAE,ARPAE
ARPAE::STA_43.9935_11.9453,ARPAE Station STA_43.9935_11.9453,PREC,0.0,2026-06-21 13:30:00+00:00,43.99349,11.9453,ARPAE,ARPAE
ARPAE::STA_43.9969_12.1687,ARPAE Station STA_43.9969_12.1687,PREC,0.0,2026-06-21 13:15:00+00:00,43.99691,12.16866,ARPAE,ARPAE
ARPAE::STA_44.0004_12.6552,ARPAE Station STA_44.0004_12.6552,PREC,0.0,2026-06-21 13:30:00+00:00,44.00035,12.65516,ARPAE,ARPAE
ARPAE::STA_44.0024_11.6654,ARPAE Station STA_44.0024_11.6654,PREC,0.0,2026-06-21 13:30:00+00:00,44.00237,11.66536,ARPAE,ARPAE
ARPAE::STA_44.0211_11.8803,ARPAE Station STA_44.0211_11.8803,PREC,0.0,2026-06-21 13:30:00+00:00,44.0211,11.88026,ARPAE,ARPAE
ARPAE::STA_44.0325_12.0433,ARPAE Station STA_44.0325_12.0433,PREC,0.0,2026-06-21 13:30:00+00:00,44.03248,12.04326,ARPAE,ARPAE
ARPAE::STA_44.0346_12.5005,ARPAE Station STA_44.0346_12.5005,PREC,0.0,2026-06-21 13:30:00+00:00,44.03456,12.5005,ARPAE,ARPAE
ARPAE::STA_44.0381_11.5176,ARPAE Station STA_44.0381_11.5176,PREC,0.0,2026-06-21 13:30:00+00:00,44.03811,11.51757,ARPAE,ARPAE
ARPAE::STA_44.0381_12.2931,ARPAE Station STA_44.0381_12.2931,PREC,0.0,2026-06-21 13:30:00+00:00,44.03806,12.29306,ARPAE,ARPAE
ARPAE::STA_44.0411_11.9819,ARPAE Station STA_44.0411_11.9819,PREC,0.0,2026-06-21 13:30:00+00:00,44.04111,11.9819,ARPAE,ARPAE
ARPAE::STA_44.0565_12.5455,ARPAE Station STA_44.0565_12.5455,PREC,0.0,2026-06-21 13:15:00+00:00,44.05651,12.54549,ARPAE,ARPAE
ARPAE::STA_44.056_11.8431,ARPAE Station STA_44.056_11.8431,PREC,0.0,2026-06-21 13:30:00+00:00,44.05597,11.84312,ARPAE,ARPAE
ARPAE::STA_44.0592_12.5735,ARPAE Station STA_44.0592_12.5735,PREC,0.0,2026-06-21 13:30:00+00:00,44.05919,12.57354,ARPAE,ARPAE
