station_id,station_name,lat,lon,gestore,source,PREC_value,PREC_dt,TARIA2M_value,TARIA2M_dt,PRESS_value,PRESS_dt,VV_value,VV_dt,UMID2M_value,UMID2M_dt,PREC_range_flag,TARIA2M_range_flag,PRESS_range_flag,VV_range_flag,UMID2M_range_flag,PREC_robust_z,PREC_outlier_flag,TARIA2M_robust_z,TARIA2M_outlier_flag,PRESS_robust_z,PRESS_outlier_flag,VV_robust_z,VV_outlier_flag,UMID2M_robust_z,UMID2M_outlier_flag,any_outlier_flag,coastal_weight,dist_to_coast_km,any_flag
ADRIATIC::MH_dpcn-marche_Gualdo,Gualdo,42.88622,13.16578,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,29.7,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.149888888888889,False,,,,,,,False,0.529,63.1,False
ADRIATIC::MH_dpcn-marche_Illice,Illice,42.90522,13.40683,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 15:45:00+00:00,26.6,2026-06-21 15:30:00+00:00,,,,,,,False,False,False,False,False,,False,-0.7307083333333327,False,,,,,,,False,0.646,43.4,False
ADRIATIC::MH_dpcn-marche_Isola_San_Biagio,Isola San Biagio,42.9181,13.2989,MeteoHub_dpcn-marche,ADRIATIC,,,22.6,2026-06-21 16:00:00+00:00,886.0,2026-06-21 16:00:00+00:00,1.3,2026-06-21 16:00:00+00:00,,,False,False,True,False,False,,,-1.480152777777777,False,-26.98000000000037,True,-0.33724999999999994,False,,,True,0.596,51.8,True
ADRIATIC::MH_dpcn-marche_Jesi,Jesi,43.5319,13.23,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,31.7,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.22483333333333308,False,,,,,,,False,0.757,24.6,False
ADRIATIC::MH_dpcn-marche_Loreto,Loreto,43.43578,13.61955,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.7,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.037472222222222074,False,,,,,,,False,0.771,22.3,False
ADRIATIC::MH_dpcn-marche_Loro_Piceno,Loro Piceno,43.16,13.4036,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,31.1,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.11241666666666689,False,,,,,,,False,0.623,47.2,False
ADRIATIC::MH_dpcn-marche_Macerata_Montalbano,Macerata Montalbano,43.29223,13.4187,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,33.0,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.4684027777777776,False,,,,,,,False,0.683,37.2,False
ADRIATIC::MH_dpcn-marche_Marina_di_Montemarciano,Marina di Montemarciano,43.6463,13.34047,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.82,14.0,False
ADRIATIC::MH_dpcn-marche_Metauro,Metauro,43.76256,12.96747,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.0,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.09368055555555552,False,,,,,,,False,0.628,46.4,False
ADRIATIC::MH_dpcn-marche_Misa,Misa,43.66254,13.16497,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.8,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.05620833333333344,False,,,,,,,False,0.736,28.2,False
ADRIATIC::MH_dpcn-marche_Moie,Moie,43.49617,13.12579,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,33.4,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.5433472222222218,False,,,,,,,False,0.702,33.9,False
ADRIATIC::MH_dpcn-marche_Monte_Bove_Sud,Monte Bove Sud,42.9119,13.1892,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,19.5,2026-06-21 16:00:00+00:00,821.0,2026-06-21 16:00:00+00:00,5.5,2026-06-21 16:00:00+00:00,,,False,False,True,False,False,,False,-2.0609722222222215,False,-40.265606060606615,True,3.203875,False,,,True,0.543,60.8,True
ADRIATIC::MH_dpcn-marche_Monte_Carpegna,Monte Carpegna,43.80088,12.32015,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 15:45:00+00:00,21.0,2026-06-21 15:30:00+00:00,,,,,,,False,False,False,False,False,,False,-1.779930555555555,False,,,,,,,False,0.682,37.3,False
ADRIATIC::MH_dpcn-marche_Monte_Nerone,Monte Nerone,43.55328,12.52087,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,20.8,2026-06-21 16:00:00+00:00,,,3.0,2026-06-21 16:00:00+00:00,,,False,False,False,False,False,,False,-1.8174027777777768,False,,,1.0960625000000002,False,,,False,0.52,64.7,False
ADRIATIC::MH_dpcn-marche_Monte_Paganuccio,Monte Paganuccio,43.6281,12.75872,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,24.6,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-1.1054305555555548,False,,,,,,,False,0.545,60.5,False
ADRIATIC::MH_dpcn-marche_Monte_Petrano,Monte Petrano,43.5153,12.62183,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,23.1,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-1.3864722222222214,False,,,,,,,False,0.486,70.4,False
ADRIATIC::MH_dpcn-marche_Monte_Prata,Monte Prata,42.8736,13.205,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,19.8,2026-06-21 16:00:00+00:00,838.0,2026-06-21 16:00:00+00:00,1.7,2026-06-21 16:00:00+00:00,,,False,False,True,False,False,,False,-2.004763888888888,False,-36.790909090909594,True,0.0,False,,,True,0.547,60.2,True
ADRIATIC::MH_dpcn-marche_Monte_Valvasseto,Monte Valvasseto,43.00013,13.23803,MeteoHub_dpcn-marche,ADRIATIC,,,19.8,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,,-2.004763888888888,False,,,,,,,False,0.569,56.3,False
ADRIATIC::MH_dpcn-marche_Montecavallo,Montecavallo,42.98368,12.99405,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,26.8,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.6932361111111107,False,,,,,,,False,0.452,76.1,False
ADRIATIC::MH_dpcn-marche_Montefano,Montefano,43.4094,13.4369,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.9,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.07494444444444415,False,,,,,,,False,0.76,24.1,False
ADRIATIC::MH_dpcn-marche_Montemonaco,Montemonaco,42.8997,13.3253,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,26.7,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.711972222222222,False,,,,,,,False,0.607,50.0,False
ADRIATIC::MH_dpcn-marche_Mozzano,Mozzano,42.84965,13.53753,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,31.1,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.11241666666666689,False,,,,,,,False,0.695,35.1,False
ADRIATIC::MH_dpcn-marche_Musone,Musone,43.4756,13.38844,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 15:45:00+00:00,33.3,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.5246111111111104,False,,,,,,,False,0.792,18.8,False
ADRIATIC::MH_dpcn-marche_Osimo_Monteragolo,Osimo Monteragolo,43.49232,13.50175,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,34.7,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.7869166666666668,False,,,,,,,False,0.819,14.2,False
ADRIATIC::MH_dpcn-marche_Passatempo,Passatempo,43.44728,13.4492,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,31.9,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.2623055555555552,False,,,,,,,False,0.786,19.8,False
ADRIATIC::MH_dpcn-marche_Pennabilli,Pennabilli,43.81972,12.27417,MeteoHub_dpcn-marche,ADRIATIC,,,26.7,2026-06-21 16:00:00+00:00,950.5,2026-06-21 16:00:00+00:00,1.6,2026-06-21 16:00:00+00:00,,,False,False,False,False,False,,,-0.711972222222222,False,-13.7965909090911,True,-0.0843124999999999,False,,,True,0.689,36.2,False
ADRIATIC::MH_dpcn-marche_Pergola,Pergola,43.56863,12.84411,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.6,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.01873611111111137,False,,,,,,,False,0.584,53.9,False
ADRIATIC::MH_dpcn-marche_Piagge,Piagge,43.7375,12.96922,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.1,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.07494444444444415,False,,,,,,,False,0.634,45.4,False
